WELL,DEPTH_MD,True_Lithology,Ensemble_Prediction,Entropy_Score,Top_3_Candidates
15/9-23_block_8,2905.43,Marl,Marl,1.7436,Marl (43.8%) | Shale (41.4%) | Sandstone/Shale (6.3%)
15/9-23_block_8,2905.58,Marl,Shale,1.7605,Shale (42.9%) | Marl (41.8%) | Sandstone/Shale (6.7%)
15/9-23_block_8,2905.74,Marl,Marl,1.7093,Marl (43.3%) | Shale (43.0%) | Sandstone/Shale (5.5%)
15/9-23_block_8,2905.89,Marl,Marl,1.7921,Marl (42.2%) | Shale (41.8%) | Sandstone/Shale (6.9%)
15/9-23_block_8,2906.04,Marl,Shale,1.763,Shale (51.6%) | Marl (32.6%) | Tuff (5.9%)
15/9-23_block_8,2906.19,Marl,Shale,1.7422,Shale (44.6%) | Marl (40.8%) | Sandstone/Shale (5.9%)
15/9-23_block_8,2906.34,Marl,Marl,1.8045,Marl (46.3%) | Shale (36.7%) | Sandstone/Shale (8.2%)
15/9-23_block_8,2906.5,Marl,Marl,1.8213,Marl (51.9%) | Shale (28.6%) | Sandstone/Shale (10.6%)
15/9-23_block_8,2906.65,Marl,Marl,2.0345,Marl (37.9%) | Shale (32.7%) | Sandstone/Shale (19.4%)
15/9-23_block_8,2906.8,Marl,Shale,1.941,Shale (38.6%) | Sandstone/Shale (32.9%) | Marl (20.6%)
15/9-23_block_8,2906.95,Marl,Shale,1.7249,Shale (52.3%) | Sandstone/Shale (30.6%) | Marl (9.5%)
15/9-23_block_8,2907.26,Marl,Shale,1.8687,Shale (52.4%) | Marl (19.5%) | Sandstone/Shale (18.9%)
15/9-23_block_8,2907.41,Marl,Shale,1.9438,Shale (50.2%) | Marl (23.3%) | Sandstone/Shale (15.9%)
15/9-23_block_8,2907.56,Marl,Marl,1.9326,Marl (45.5%) | Shale (32.4%) | Sandstone/Shale (12.3%)
15/9-23_block_8,2907.71,Marl,Marl,1.9132,Marl (48.3%) | Shale (30.9%) | Sandstone/Shale (10.5%)
15/9-23_block_8,2907.86,Marl,Marl,1.7244,Marl (61.6%) | Shale (20.0%) | Sandstone/Shale (8.1%)
15/9-23_block_8,2908.02,Marl,Marl,1.8495,Marl (49.3%) | Shale (31.5%) | Sandstone/Shale (9.5%)
15/9-23_block_8,2908.17,Marl,Marl,1.9957,Marl (44.5%) | Shale (31.1%) | Sandstone/Shale (12.5%)
15/9-23_block_8,2908.32,Marl,Sandstone/Shale,2.0462,Sandstone/Shale (34.6%) | Shale (30.2%) | Marl (25.6%)
15/9-23_block_8,2908.47,Marl,Shale,1.874,Shale (40.3%) | Sandstone/Shale (38.8%) | Marl (12.2%)
15/9-23_block_8,2908.62,Marl,Shale,1.8224,Shale (54.1%) | Marl (20.8%) | Sandstone/Shale (16.2%)
15/9-23_block_8,2908.78,Marl,Shale,1.8108,Shale (46.3%) | Marl (35.5%) | Sandstone/Shale (9.9%)
15/9-23_block_8,2908.93,Marl,Marl,1.8149,Marl (45.7%) | Shale (36.8%) | Sandstone/Shale (8.9%)
15/9-23_block_8,2909.08,Marl,Marl,1.6605,Marl (63.1%) | Shale (20.2%) | Sandstone/Shale (7.0%)
15/9-23_block_8,2909.23,Marl,Marl,1.6303,Marl (66.4%) | Shale (15.9%) | Sandstone/Shale (7.4%)
15/9-23_block_8,2909.38,Marl,Marl,1.5157,Marl (69.2%) | Shale (14.4%) | Sandstone/Shale (7.4%)
15/9-23_block_8,2909.54,Marl,Marl,1.6427,Marl (68.1%) | Shale (11.1%) | Sandstone/Shale (7.9%)
15/9-23_block_8,2909.69,Marl,Marl,1.6715,Marl (64.9%) | Shale (16.8%) | Sandstone/Shale (7.7%)
15/9-23_block_8,2909.84,Marl,Marl,1.671,Marl (64.9%) | Shale (17.0%) | Sandstone/Shale (7.6%)
15/9-23_block_8,2909.99,Marl,Marl,1.686,Marl (64.3%) | Shale (16.8%) | Sandstone/Shale (8.2%)
15/9-23_block_8,2910.14,Marl,Marl,1.6506,Marl (66.1%) | Shale (15.6%) | Sandstone/Shale (7.4%)
15/9-23_block_8,2910.3,Marl,Marl,1.6609,Marl (64.9%) | Shale (17.7%) | Sandstone/Shale (6.7%)
15/9-23_block_8,2910.45,Marl,Marl,1.9779,Marl (53.4%) | Shale (22.4%) | Sandstone (8.4%)
15/9-23_block_8,2910.6,Marl,Marl,1.8057,Marl (58.8%) | Shale (21.8%) | Sandstone/Shale (7.7%)
15/9-23_block_8,2910.75,Marl,Marl,1.6729,Marl (61.4%) | Shale (21.9%) | Sandstone/Shale (7.5%)
15/9-23_block_8,2910.9,Marl,Marl,1.7755,Marl (46.9%) | Shale (37.0%) | Sandstone/Shale (7.7%)
15/9-23_block_8,2911.06,Marl,Marl,1.8602,Marl (44.4%) | Shale (35.1%) | Sandstone/Shale (12.2%)
15/9-23_block_8,2911.21,Marl,Sandstone/Shale,1.9517,Sandstone/Shale (35.6%) | Shale (29.4%) | Marl (27.7%)
15/9-23_block_8,2911.36,Marl,Sandstone/Shale,1.8637,Sandstone/Shale (45.6%) | Shale (29.4%) | Marl (17.7%)
15/9-23_block_8,2911.51,Marl,Sandstone/Shale,1.8677,Sandstone/Shale (41.5%) | Shale (34.5%) | Marl (16.8%)
15/9-23_block_8,2911.66,Marl,Sandstone/Shale,1.8477,Sandstone/Shale (45.2%) | Shale (30.9%) | Marl (16.8%)
15/9-23_block_8,2911.82,Marl,Sandstone/Shale,1.8314,Sandstone/Shale (47.4%) | Shale (29.9%) | Marl (15.5%)
15/9-23_block_8,2911.97,Marl,Shale,1.7516,Shale (55.5%) | Sandstone/Shale (24.0%) | Marl (12.9%)
15/9-23_block_8,2912.12,Marl,Shale,1.6399,Shale (56.8%) | Marl (29.5%) | Sandstone/Shale (6.0%)
15/9-23_block_8,2912.27,Marl,Shale,1.7109,Shale (49.5%) | Marl (36.4%) | Sandstone/Shale (5.4%)
15/9-23_block_8,2912.42,Marl,Shale,1.7593,Shale (52.0%) | Marl (31.9%) | Sandstone/Shale (6.6%)
15/9-23_block_8,2912.58,Marl,Shale,1.7702,Shale (51.5%) | Marl (32.1%) | Sandstone/Shale (6.8%)
15/9-23_block_8,2912.73,Marl,Shale,1.7601,Shale (52.3%) | Marl (31.5%) | Sandstone/Shale (6.5%)
15/9-23_block_8,2912.88,Marl,Shale,1.8848,Shale (50.5%) | Marl (29.4%) | Sandstone/Shale (9.0%)
15/9-23_block_8,2913.03,Marl,Shale,1.7988,Shale (46.0%) | Marl (37.3%) | Sandstone/Shale (7.5%)
15/9-23_block_8,2913.18,Marl,Shale,1.8846,Shale (46.2%) | Marl (34.4%) | Sandstone/Shale (8.8%)
15/9-23_block_8,2913.79,Marl,Marl,1.6278,Marl (65.0%) | Shale (18.0%) | Sandstone/Shale (7.4%)
15/9-23_block_8,2913.94,Marl,Marl,1.6445,Marl (65.2%) | Shale (17.4%) | Sandstone/Shale (7.2%)
15/9-23_block_8,2914.1,Marl,Marl,1.6586,Marl (64.7%) | Shale (17.6%) | Sandstone/Shale (7.3%)
15/9-23_block_8,2914.25,Marl,Marl,1.6872,Marl (64.3%) | Shale (16.6%) | Sandstone/Shale (8.5%)
15/9-23_block_8,2914.4,Marl,Marl,1.6877,Marl (64.0%) | Shale (17.4%) | Sandstone/Shale (8.0%)
15/9-23_block_8,2914.55,Marl,Marl,1.6715,Marl (64.3%) | Shale (17.4%) | Sandstone/Shale (8.0%)
